doc_id,title,doc_kind,source_markdown,output_pdf,output_docx,produced_date,page_count,searchable_text,qc_status,qc_findings_open,approval_id,status,notes
WP-001,MATTER STATUS AND DECISION MEMORANDUM,work-product,12-workproduct/drafts/WP-001-status-memo.md,12-workproduct/drafts/WP-001-matter-status-and-decision-memorandum.pdf,12-workproduct/drafts/WP-001-matter-status-and-decision-memorandum.docx,2026-09-21,4,yes,pass,,,draft,produced by produce_document.py; run qc_document.py before any human review is requested
WP-002,OPPOSING COUNSEL AND JUDICIAL ANALYSIS,work-product,12-workproduct/drafts/WP-002-opposition-and-bench.md,12-workproduct/drafts/WP-002-opposing-counsel-and-judicial-analysis.pdf,12-workproduct/drafts/WP-002-opposing-counsel-and-judicial-analysis.docx,2026-09-21,7,yes,pass,,,draft,produced by produce_document.py; run qc_document.py before any human review is requested
WP-003,MOTION FOR LEAVE TO FILE A CORRECTED AMENDED COMPLAINT,motion,12-workproduct/drafts/WP-003-filing-package.md,12-workproduct/drafts/WP-003-motion-for-leave-to-file-a-corrected-amended-com.pdf,12-workproduct/drafts/WP-003-motion-for-leave-to-file-a-corrected-amended-com.docx,2026-09-21,12,yes,pass-with-warnings,,,draft,produced by produce_document.py; run qc_document.py before any human review is requested
WP-004,FINAL QUALITY GATE — TWO INDEPENDENT AUDITS,work-product,12-workproduct/drafts/WP-004-final-audit.md,12-workproduct/drafts/WP-004-final-quality-gate-two-independent-audits.pdf,12-workproduct/drafts/WP-004-final-quality-gate-two-independent-audits.docx,2026-09-21,6,yes,pass-with-warnings,,,draft,produced by produce_document.py; run qc_document.py before any human review is requested
