date,close
2023-01-31,3960.66
2023-02-28,4079.68
2023-03-31,3968.56
2023-04-30,4121.47
2023-05-31,4146.17
2023-06-30,4345.37
2023-07-31,4508.08
2023-08-31,4426.24
2023-09-30,4409.10
2023-10-31,4258.98
2023-11-30,4460.06
2023-12-31,4685.05
2024-12-31,6010.91
2025-01-31,5979.52
2025-02-28,6038.69
2025-03-31,5683.98
2025-04-30,5369.50
2025-05-31,5810.92
2025-06-30,6029.95
2025-07-31,6296.50
2025-08-31,6408.95
2025-09-30,6584.02
2025-10-31,6735.69
2025-11-30,6740.89
2025-12-31,6853.03
2026-01-31,6929.12
2026-02-28,6893.81
2026-03-31,6654.42
2026-04-30,6957.01
2026-05-31,7412.55
2026-06-30,7450.03
2026-07-31,7513.50
2026-09-01,7700.57
